電影,#genre#
TNT,mitv://64.32.9.99:7999/7aea41f510edada1e0340a15ec52c024.ts
天映頻道,mitv://64.32.9.99:7999/7f82d225b3ec2852ced52c0dfa6e5c13.ts
Sky Cinema,mitv://64.32.9.99:7999/5d735edf000dcf440595207133c4039d.ts
Showtime,mitv://64.32.9.99:7999/4556e517e628547d4964e87d8ad3cfe1.ts
美亞電影台[TW],mitv://64.32.9.99:7999/7c6fb2cb638f3005dabaa8ffa5b9d6c2.ts
IFC,mitv://64.32.9.99:7999/5d735ed60001a1e10594fa2b0baaa594.ts
Warner TV(USA),mitv://64.32.9.99:7999/a688dd0d09c6988cd445e1f63e41c64b.ts
黃金華劇,mitv://64.32.9.99:7999/d425c3edd4b2a5344a81f0da934f9aa0.ts
龍祥電影,mitv://64.32.9.99:7999/c5a7e406c254694c7663a7387e5ab7ef.ts
Starz Cinema,mitv://64.32.9.99:7999/a853e5995870ec7ab525611a755cb995.ts
Showtime Next,mitv://64.32.9.99:7999/3bf3391aa56005be7b9feb8234f97912.ts
天映經典CCM,mitv://64.32.9.99:7999/7dcde80bad9e65498ee587bf1937f614.ts
龍華電影,mitv://64.32.9.99:7999/6344b947afba0fd46b460fc95a2a88df.ts
AMC,mitv://64.32.9.99:7999/4ecb46d627052c6d64b63e2828a5a799.ts
TvN Movies(MY),mitv://64.32.9.99:7999/e83241a4695c284878cd93eb13bd1008.ts
東森電影,mitv://64.32.9.99:7999/35fb60fad3da4141462f46597e1fd0a0.ts
美亞電影台[HK],mitv://64.32.9.99:7999/46b7e468608e1dcccb424049e630c77c.ts
Sky Cinema Action,mitv://64.32.9.99:7999/5e619d6475f7fac905e7a4dcb41125d6.ts
HITS Movies,mitv://64.32.9.99:7999/904f6ffa65024c2144954b0a93be3538.ts
好萊塢電影,mitv://64.32.9.99:7999/961b497565b906effe0bfcef2cd0e6ff.ts
Astro Showcase,mitv://64.32.9.99:7999/1772b1ef717274b739e42238107924d7.ts
AMC電影,mitv://64.32.9.99:7999/f130b1a077112e797fd8d5eaf3dc63f9.ts
SONY MOVIES,mitv://64.32.9.99:7999/5cb487d9d2c5034688164849671a6c9a.ts
SyFy,mitv://64.32.9.99:7999/5d9ca8b10000ac81092cb5e1b10bb7e9.ts
東森洋片,mitv://64.32.9.99:7999/3e11b3508b74e00ac294c4bd524e984c.ts
WOWOW プライム,mitv://64.32.9.99:7999/5e5a3218000cd38206830f5d37ddb271.ts
CatchPlay電影,mitv://64.32.9.99:7999/5e20630a00011ac408d5b681d11b09a8.ts
愛奇藝,mitv://64.32.9.99:7999/cdca23900eff43363303ac0953c99769.ts
TVB星河,mitv://64.32.9.99:7999/cd7576789e91fb8a757fa0e1468651a5.ts
緯來電影,mitv://64.32.9.99:7999/1a10b2d4ddef5a5d7e43421bb576186f.ts
三立戲劇,mitv://64.32.9.99:7999/fc8f70f134d01a8e3b56131dee339309.ts
ELTA影劇HD,mitv://64.32.9.99:7999/3a87453ccf21fe5535376ba96fddbbf2.ts
FXM,mitv://64.32.9.99:7999/30e0c4045bea7d7fe0d6f0ae7f1fa598.ts
天映(粤),mitv://64.32.9.99:7999/bf818f6627419eb4448996df7725c983.ts
AXN(HK),mitv://64.32.9.99:7999/95c9a24a39b1af832b4801b9a4ecfdce.ts
CinemaWorld,mitv://64.32.9.99:7999/f5b3710628c832269d5f48d3737089f8.ts
MOVIE MOVIE,mitv://64.32.9.99:7999/50a96b643b4bb3fbc5598da87be1c7d0.ts
Freeform,mitv://64.32.9.99:7999/3b9a58cd069315e45b1cbfe2ccb20d92.ts
Star Crime,mitv://64.32.9.99:7999/d419fbccc5ff5457a1d1200009fd779f.ts
CM Plus,mitv://64.32.9.99:7999/b94849fa37c995c6e7efbcda77a0c5a9.ts
TVB經典台,mitv://64.32.9.99:7999/b014cd9a6a604747c790b3d3de1b1aa1.ts
壹電影,mitv://64.32.9.99:7999/655597de2aa86fca9a1da6c1683f7a7d.ts
Sky Cinema Comedy,mitv://64.32.9.99:7999/76e5d6ae522f62224be5966239246c6e.ts
Rock Action,mitv://64.32.9.99:7999/6de2bb48cd6cf49eb919fc5f82c85aad.ts
Sky One,mitv://64.32.9.99:7999/5d735638000b8fdb05735386284fd9ac.ts
TVB黃金翡翠台,mitv://64.32.9.99:7999/50685be4f5213296271574e71963021b.ts
WarnerTV華納電影,mitv://64.32.9.99:7999/001b8662bb9d1c0dd114de91ecbecee4.ts
KIX,mitv://64.32.9.99:7999/5e5a4e9c00047e4506f270db840c210e.ts
TVB 亞洲武俠,mitv://64.32.9.99:7999/4322129f1f69f0f8ec6af0bcf75e7e57.ts
靖天日本,mitv://64.32.9.99:7999/3026aea196ac286eda2b59418640a338.ts
龍華洋片,mitv://64.32.9.99:7999/dbcd898eeb3d7f3468a00414fc637a85.ts
Popc,mitv://64.32.9.99:7999/44de3b5662f1943c3a358f2c8f640217.ts
TVB Super Free,mitv://64.32.9.99:7999/d869a4d2a2e0c9d6a603ccc401fce3ea.ts
龍華日韓,mitv://64.32.9.99:7999/8917854d95a95bf747bf0e27c0dbbb6f.ts
CinemaWorld TW,mitv://64.32.9.99:7999/67c7610eef968e1933c82828e8afa6aa.ts
八大戲劇HD,mitv://64.32.9.99:7999/039de05e6da4ed9724ad53f7bc0f3f5a.ts
靖天電影,mitv://64.32.9.99:7999/b9bf01b1e9e4da26eb9666985cb422e3.ts
My Cinemaeurope,mitv://64.32.9.99:7999/231c5d392d875a442f976368751ff716.ts
STARZ ENCORE ACTION,mitv://64.32.9.99:7999/a4055e552fe51c8f97fc8a84d3a12be3.ts
經典電影臺,mitv://64.32.9.99:7999/5ea6caef2d5cb581483272759eba64e3.ts
東森戲劇,mitv://64.32.9.99:7999/05b6b1f19121bcd0f6d1bcf1ff057a61.ts
THRILL,mitv://64.32.9.99:7999/c54a8b8db7918dc923c94e7c4a2e975c.ts
廣州影視,mitv://64.32.9.99:7999/70a23ed3f9cc2e817e15ea39791ae562.ts
HITS,mitv://64.32.9.99:7999/58ad3f18f02a64d6fc8b91c0d70ebc36.ts
TVB亞洲劇,mitv://64.32.9.99:7999/c69e8ab15806a5e0b30ffd8fc645966e.ts
Sky Cinema Family,mitv://64.32.9.99:7999/0fe486e8cd57b3d6af30245a90c4dbe4.ts
tvb粵語片臺,mitv://64.32.9.99:7999/001d49130a078fdb6234e2ae2c881779.ts
緯來戲劇,mitv://64.32.9.99:7999/ffc11e633c6e1371558d1ffa7297dea3.ts
CHC動作電影,mitv://64.32.9.99:7999/eaf7056ec04f5a56fcc8c368a54fbe14.ts
Great Movies,mitv://64.32.9.99:7999/23722c115ff7613533d6c08bc40de21d.ts
ROCK Extreme,mitv://64.32.9.99:7999/9d18cf20b598bdc32830b6d46bda9e48.ts
靖洋戲劇,mitv://64.32.9.99:7999/1d982f73cb929a6edf4cc3bda4f1efb9.ts
CINEMAX(TW),mitv://64.32.9.99:7999/e397d05406d20b82a284a19aa06482e5.ts
Hi-YAH,mitv://64.32.9.99:7999/729b64cc50af6741bb1e415145fa35dc.ts
靖天映畫,mitv://64.32.9.99:7999/320bfcfaab4832c09a5602f78c172d53.ts
龍華戲劇,mitv://64.32.9.99:7999/79c6e95c15debdd9094e4ba81d4fe74c.ts
CHC家庭影院,mitv://64.32.9.99:7999/ea7792fa10015617a0f308d8c8ffe073.ts
Hits Now,mitv://64.32.9.99:7999/7b27b370826d38226be83f2a028367aa.ts
明珠臺(備),mitv://64.32.9.99:7999/5e2028b00001210e07f1c6f31464067a.ts
民視影劇臺,mitv://64.32.9.99:7999/5c3349132878900223894101a5c885ca.ts
龍華經典,mitv://64.32.9.99:7999/48b84620b32ae74e0ea64ecd0a91cc0d.ts
廣東影視,mitv://64.32.9.99:7999/d93f882608f8a1143c2cb97103810183.ts
龍華偶像,mitv://64.32.9.99:7999/ffd4f8c6b37542d78822085c31dab407.ts
CHC影迷電影,mitv://64.32.9.99:7999/290b6b03283b69566b9874222e7a3e9a.ts
采昌影劇,mitv://64.32.9.99:7999/adb33ec14749e5f293aa90c0a682670d.ts
TVB星河(粵),mitv://64.32.9.99:7999/f538bb0fd8d41ba47be18aa22c861933.ts
TVB華劇,mitv://64.32.9.99:7999/778c83b8f7011b3d3450f628679514b0.ts
TVB黃金翡翠臺(B),mitv://64.32.9.99:7999/2c65ac08be6ba85be4eb3a5a702a2bf2.ts
公視戲劇,mitv://64.32.9.99:7999/4970fc78a2503e0c7801ded50e52e3e3.ts
影迷數位電影,mitv://64.32.9.99:7999/5e5a34f200087c0f068e31d09894191f.ts
靖天戲劇,mitv://64.32.9.99:7999/4f7a176293cec5dcec6b4c3681f92df1.ts
新聞,#genre#
ASTRO AWANI,mitv://64.32.9.99:7999/997306d8bb5dce2099d371018727ecf2.ts
Astro AWANI FHD,mitv://64.32.9.99:7999/06bae69a75e65a5e1bbf865bc2795749.ts
CNN USA,mitv://64.32.9.99:7999/09e75fc9a17f94bbaf7380d23f202787.ts
CNN International,mitv://64.32.9.99:7999/93b49b4d0e61b567ca2f200a3e7720f7.ts
CNN HLN,mitv://64.32.9.99:7999/bf3bb71b7b34f35da74a309db6a1912d.ts
CNN Fast,mitv://64.32.9.99:7999/2ed1e4f8492f62c5ac95c2b6eea38dcf.ts
NOW 新聞臺,mitv://64.32.9.99:7999/5e5bcada0004072f0cbfc2ecaeed26d4.ts
now 財經臺,mitv://64.32.9.99:7999/d06a0cdd5d3e6e4c32a8c85cf6552e66.ts
Now Jelli紫金國際臺,mitv://64.32.9.99:7999/89911f820da6d6e9993f99023e580af9.ts
now直播台,mitv://64.32.9.99:7999/5e20b4090003ea240a121b52324f74b9.ts
CCTV4 FHD,mitv://64.32.9.99:7999/ffb2f63e752a19d8aed7f23bd46d8c9c.ts
CCTV4,mitv://64.32.9.99:7999/aa2d11d359d6725db4f314e9b38d3efe.ts
CCTV2,mitv://64.32.9.99:7999/1eae51f1543fc7a32a0cd97bb02263ae.ts
CCTV1(RTHK33),mitv://64.32.9.99:7999/70671333b4fa6ed75fd877ab50203d28.ts
CCTV13,mitv://64.32.9.99:7999/d960a3d4374cc7bc68218e336932f639.ts
鳳凰資訊FHD,mitv://64.32.9.99:7999/e66ec28b5bdb0f8892cfc046a80d775c.ts
鳳凰資訊HD,mitv://64.32.9.99:7999/ee987b5f253f85f3ac789fc18266e98d.ts
Fox News Channel,mitv://64.32.9.99:7999/8518826cc4034b8bc8e3e86961e3f192.ts
中天新聞,mitv://64.32.9.99:7999/8d13c790ceb548d8627d2e5f0382e489.ts
KTLA 5,mitv://64.32.9.99:7999/2882348a822f75241ce9129aeeb03f7d.ts
中天新聞FHD,mitv://64.32.9.99:7999/ce52eb547646c6c5c2c592b90087d943.ts
無線新聞台,mitv://64.32.9.99:7999/5619d5c6d81e1a0a6669a0809742b7ce.ts
寰宇新聞,mitv://64.32.9.99:7999/d3a323b716faaf7de8427e78a6c0096f.ts
ABC MIAMI,mitv://64.32.9.99:7999/5e204bc900090645087ae2a117e42bde.ts
TVBS新聞HD,mitv://64.32.9.99:7999/bb32cdcb3aec4eddf75538eb16b919d1.ts
Arise News,mitv://64.32.9.99:7999/31e5446b8e51a3d5d923cc9a1cd2a61e.ts
ABC 7 NY,mitv://64.32.9.99:7999/d3b0f05144e391133e8b70c5d0e69bb0.ts
FOX NEWS NOW,mitv://64.32.9.99:7999/0a4346f1f63028c5998e9f48445d235f.ts
CNN,mitv://64.32.9.99:7999/df8ed3e45ce520fa399142149061383e.ts
三立新聞,mitv://64.32.9.99:7999/5e20066d00097509076bf35d54199597.ts
BBC World News,mitv://64.32.9.99:7999/dce92ca884f31314323929934eda62ba.ts
TVBS新聞FHD,mitv://64.32.9.99:7999/80284a143b5f12c755570504cca71b70.ts
年代新聞HD,mitv://64.32.9.99:7999/5e2051040005b502088f503f9c54f67e.ts
Kompas TV,mitv://64.32.9.99:7999/00cbc9869495f259bbb24f11d85c94d7.ts
翡翠普通話臺,mitv://64.32.9.99:7999/078fbe59817efabca3bb86bcb9516838.ts
東森新聞HD,mitv://64.32.9.99:7999/1a1b15e335429cdfeca9281e513982ed.ts
24 Украiна,mitv://64.32.9.99:7999/11d22190c2d79299d1d36bb1820f14cd.ts
寰宇新聞FHD,mitv://64.32.9.99:7999/0d812200b3f69a43149fa296920274e8.ts
Al Jazeera (En),mitv://64.32.9.99:7999/dae990d7285e9d31cfa958ba6fbce20e.ts
ABC 5(WEWS),mitv://64.32.9.99:7999/5b1cfd5736fff0470808bf63aeaa0ba8.ts
GMA News TV,mitv://64.32.9.99:7999/5e2fc9250004a296117405d3c34a67bf.ts
HOY資訊台,mitv://64.32.9.99:7999/c5334b22ee53ce10a59c8ddb7db5b50a.ts
TV2,mitv://64.32.9.99:7999/fa615e519e4e2af85f92409578ca9868.ts
寰宇新聞台灣臺,mitv://64.32.9.99:7999/3b6669a8261dd93276a8de7cc4435ccc.ts
無線新聞(265),mitv://64.32.9.99:7999/3b8f1e91f35c8892ef3ee7c53bddd0c9.ts
NewsNation,mitv://64.32.9.99:7999/7dc856df994449a72544a42ceb036867.ts
壹新聞,mitv://64.32.9.99:7999/6d6573f701ac772d243a189958404e94.ts
BBC News,mitv://64.32.9.99:7999/853fde77a476b08dbbab1b26a146e59e.ts
東森新聞FHD,mitv://64.32.9.99:7999/e2aca42682dad5e9e492499a7a3d27b1.ts
CNA,mitv://64.32.9.99:7999/409c1495a3eb5b7fd421af5bca18a8e7.ts
三立LIVE FHD,mitv://64.32.9.99:7999/5e333d00c4e1ef043fad9c30ce93dd3a.ts
台視新聞,mitv://64.32.9.99:7999/5aad41e512f6596bf65ad21f574a292c.ts
FOX 25,mitv://64.32.9.99:7999/5f19ccf40009ee56164058053a8df483.ts
日本電視臺,mitv://64.32.9.99:7999/5e208d730000eef3097b609e7dab4938.ts
KCBS Los Angeles,mitv://64.32.9.99:7999/ff3d9ab077e704b94513e4147f6f1efd.ts
France Info,mitv://64.32.9.99:7999/dd7ff9ffa68febeade031ef87ae3f951.ts
台視新聞FHD,mitv://64.32.9.99:7999/7cca1ae4a7b3964d020179866bb3bf96.ts
非凡新聞HD,mitv://64.32.9.99:7999/aa58b9531785d4649205ed9cd6831abe.ts
CNBC,mitv://64.32.9.99:7999/a9725665bf9e3d12d246a6c344d95e59.ts
HOY TV,mitv://64.32.9.99:7999/5d7dcaf2000abb07148b63abcc0df44c.ts
澳視資訊,mitv://64.32.9.99:7999/0d3f54c8f9addf9e18d5f9dac5adae19.ts
Global News,mitv://64.32.9.99:7999/07c9af2707db1ff29b47aa78a3020335.ts
民視新聞FHD,mitv://64.32.9.99:7999/e5122660281a5a7b18e5fb00c043c41e.ts
Bloomberg TV,mitv://64.32.9.99:7999/e96243c28979016a1ecf0dc2d914d3e9.ts
CBC News,mitv://64.32.9.99:7999/9bb437987bd1c12330cb9090d7382634.ts
CNBC WORLD,mitv://64.32.9.99:7999/de890208794a134ea0a4325d1ab1ea7d.ts
鏡新聞,mitv://64.32.9.99:7999/b9dbaed9a1f6955607314dcc98fd1f22.ts
CP 24,mitv://64.32.9.99:7999/5e202665000dc84807e8d5386f210655.ts
Fox Business,mitv://64.32.9.99:7999/5e20500a000d3689088b819b84d4cc7c.ts
France24,mitv://64.32.9.99:7999/cd121ad86428241b771d93ba2c8a26f5.ts
MSNBC,mitv://64.32.9.99:7999/487d88b1e5338dad006a1dd2c4ee3a37.ts
ABC News Headlines,mitv://64.32.9.99:7999/0b4b4eb4abc5f05e7ed17b216d7d8acb.ts
BS日テレ,mitv://64.32.9.99:7999/00ffe5e2f9f248ecce51c248c054fbd5.ts
CBS 2 NY,mitv://64.32.9.99:7999/5e2fc3a5000564e5115e8a05be0a0055.ts
FOX 68,mitv://64.32.9.99:7999/a8a6188ffb9ded8e5406a942fe68d8c8.ts
NBC 4(WNBC),mitv://64.32.9.99:7999/f14e6fca2c9af2327a15120be64410be.ts
ABC News AUS,mitv://64.32.9.99:7999/425eef0ba02b8da9de7a0f38f782f9e8.ts
NBC NEWS,mitv://64.32.9.99:7999/1de07fb98be28ea6e62795020b4c3228.ts
RTHK32,mitv://64.32.9.99:7999/3613ab3d9f140045b69be8a11a0de555.ts
三立INEWS HD,mitv://64.32.9.99:7999/5ea8f327658e5b7fed427a42757b0e83.ts
中視新聞FHD,mitv://64.32.9.99:7999/5e209de100079eac09bb90049955d7fd.ts
CBC OTTAWA,mitv://64.32.9.99:7999/aa03a22da2645baaf35b134f1b7528c3.ts
CGTN,mitv://64.32.9.99:7999/5e20c371000647630a4e4a2d57090c6c.ts
Euronews EN,mitv://64.32.9.99:7999/ce035de5ae189b0f7f068103018ff525.ts
News CNA,mitv://64.32.9.99:7999/14c733d83c9190dc4eafdb4bcf4905af.ts
中視新聞,mitv://64.32.9.99:7999/456872e94e02857703abcc4c54012cee.ts
廣東新聞,mitv://64.32.9.99:7999/5262b509e636cfc1870e0fa75b76b3eb.ts
CBS 12,mitv://64.32.9.99:7999/85c2f5fc3c78aa1867b7b9b322b5e077.ts
CBS News,mitv://64.32.9.99:7999/985a519c21737dc76f91ae68c35bf50e.ts
JapaNews24 FHD[維護],mitv://64.32.9.99:7999/5e2023700006935d07dd4658fbef8da6.ts
TBS NEWS FHD,mitv://64.32.9.99:7999/59b69ed64297baab09059707e83390e9.ts
三立INEWS FHD,mitv://64.32.9.99:7999/d7de08e66eefa8d99b625d48a4c752e4.ts
東森財經新聞,mitv://64.32.9.99:7999/880cd9d3d0ce24249a6441a04bffd04a.ts
ABC 10,mitv://64.32.9.99:7999/e34f6a6b313e4c6afa410aa3ccb02579.ts
FOX 2 KTVU,mitv://64.32.9.99:7999/ba4ee2ec672c4a36102afd127cf89e91.ts
NBC News Now FHD,mitv://64.32.9.99:7999/10c723a87931363768f299e62934273e.ts
Taiwan Plus,mitv://64.32.9.99:7999/104cd5e3cb41c105e40f85c3b6a194e8.ts
廣州新聞,mitv://64.32.9.99:7999/3095b7041981e237244b726c9574853a.ts
東森財經FHD[維護],mitv://64.32.9.99:7999/9bcdc6411fcbe5f20ffd200153e2b91c.ts
民視新聞HD,mitv://64.32.9.99:7999/ab66063d43025be7a1247a253d2bce0b.ts
華視新聞FHD,mitv://64.32.9.99:7999/bb73de095749c583efcf95a3f46066a7.ts
Bloomberg 4K,mitv://64.32.9.99:7999/147fe6de7e3c20b2fcf2a85d65c4f994.ts
Newsmax,mitv://64.32.9.99:7999/41ecf5bb49a13ecbcb18b3c5841a41a3.ts
SKY NEWS HD,mitv://64.32.9.99:7999/20b9312579ecbb0ef59409dce30eb436.ts
Sky News Live FHD,mitv://64.32.9.99:7999/0171f1203670e1e349a08135b4fde1cb.ts
YonhapnewsTV,mitv://64.32.9.99:7999/3765b978d29ab43e0a8910005b402426.ts
ABC News USA,mitv://64.32.9.99:7999/de03c1a252a83c6341f0751c65f3cb6b.ts
Bloomberg News,mitv://64.32.9.99:7999/8f31bd663c30cb42029c19bb4cee20d7.ts
CNBC ASIA,mitv://64.32.9.99:7999/1420deedc7f2acf2e623a83f51bb874e.ts
第一財經,mitv://64.32.9.99:7999/958cf1decc16a1637c4887a40ba15088.ts
Berita RTM,mitv://64.32.9.99:7999/5563aff4b96b30836d9418bcb848905c.ts
DW FHD,mitv://64.32.9.99:7999/8348193f76b1e1e567bea4b3d743096a.ts
Russia Today,mitv://64.32.9.99:7999/8bed0fd9f788f11aff91dd17361f976b.ts
華視新聞資訊,mitv://64.32.9.99:7999/5e205806000329b308aaaf687b69f08b.ts
Global News Toronto,mitv://64.32.9.99:7999/b16ef0491e024fc37f844e79793f86cf.ts
CTV News Channel,mitv://64.32.9.99:7999/73b54bece80a23ad98926380b6b17407.ts
靖天資訊,mitv://64.32.9.99:7999/0108dd3e7138895b49163ef69d6a4708.ts
香港國際財經,mitv://64.32.9.99:7999/4518beb11316fa5435966d58daa82584.ts
非凡商業,mitv://64.32.9.99:7999/420b4d1e371cfa481dfad810d97319dc.ts
運動,#genre#
Astro Premier League,mitv://64.32.9.99:7999/0f80c9738ab54b0c8f6162198b76671e.ts
Astro Football,mitv://64.32.9.99:7999/903e9fbdb8fc31e858a898f88ade6e62.ts
Astro Grandstand,mitv://64.32.9.99:7999/3a5ee14b42a701d3516e6172d252ac0c.ts
Astro Premier League2,mitv://64.32.9.99:7999/83677e80cea4d72a824acc4fc86a99f4.ts
Astro Premier League3,mitv://64.32.9.99:7999/aa690fcc066d8e5c10829fb9eb6960f1.ts
W-Sport,mitv://64.32.9.99:7999/61be1c60000d7d370498b9626543e50e.ts
Astro Badminton,mitv://64.32.9.99:7999/1c3f0441fe9bc6193bba887ebec3083a.ts
Astro Badminton 2,mitv://64.32.9.99:7999/eed398b41a073d6ab7cf9f9312562b40.ts
Astro Sports Plus,mitv://64.32.9.99:7999/15966b49b91c044757abdeef1eb2388f.ts
ASPL1(backup),mitv://64.32.9.99:7999/3c6dcb6827c4c181376cf7e6973279f3.ts
ASF(backup),mitv://64.32.9.99:7999/98319f0af769f06cd4994e92e6603d4c.ts
Astro Sports UHD,mitv://64.32.9.99:7999/5955e47b4de45a7cee035ffc70488852.ts
ASPL2(backup),mitv://64.32.9.99:7999/4c5b816790ce3c84e935b65d1ccbef0d.ts
ASGS(backup),mitv://64.32.9.99:7999/fac5d16f87e53c831a4f1980734ee778.ts
ASTRO Arena,mitv://64.32.9.99:7999/5e5a32f3000480e8068664b4d516e99e.ts
ASTRO Cricket,mitv://64.32.9.99:7999/f33211eedb06434a93244f08445a0a09.ts
Astro Arena Bola,mitv://64.32.9.99:7999/bdfa3623bcf9bbde411b0f4d9b361f83.ts
ASTRO Arena 2,mitv://64.32.9.99:7999/c0981c41e675aad112be38996d68ad59.ts
Astro Arena Bola 2,mitv://64.32.9.99:7999/97e4fbffc88e2092bd0bdd355579257a.ts
TSN 1,mitv://64.32.9.99:7999/316cd3815562f886ea380cc4e864d0db.ts
TSN 2,mitv://64.32.9.99:7999/783aa9efd83ac0bd68c7462ba7198b86.ts
TSN 3,mitv://64.32.9.99:7999/72992d9ea2e68e3231b2bbaee4c7bd8f.ts
TSN 5,mitv://64.32.9.99:7999/5e5a5c52000f1ec40728028340254434.ts
TSN4(CA),mitv://64.32.9.99:7999/e81d2752c6febaf911ce22581f6f3163.ts
Bein Sports USA,mitv://64.32.9.99:7999/b9eebaf5dc0e0e037cbfeaed51469a8e.ts
Bein Sports 1,mitv://64.32.9.99:7999/baac9e385a48e20ce571ab267c627d37.ts
Bein Sports 2,mitv://64.32.9.99:7999/ef65e81b2d58f97f408a938f7c8e0cbf.ts
Bein Sports 1(HK)[維護],mitv://64.32.9.99:7999/10e78bce4e80e4cf0f0c2782e1bead46.ts
Bein Sports 2(MY),mitv://64.32.9.99:7999/9d120ea445375b594423e90d0c87b317.ts
BeIN Sports(MY),mitv://64.32.9.99:7999/b9e473ee8bc8d92030bb07bb8a4f2964.ts
Bein Sports3(MY),mitv://64.32.9.99:7999/a3f1bac7020b78240366b3ab3213a034.ts
Bein Sports 3,mitv://64.32.9.99:7999/e22af4069554849ecd1a33844633c429.ts
Bein Sports 3(HK),mitv://64.32.9.99:7999/2c3abe6772e7b2dc22c3019b0db95063.ts
Bein Sports 2(HK),mitv://64.32.9.99:7999/088f895bae15793d01745ad234c3b6c2.ts
Now NBA(642),mitv://64.32.9.99:7999/3eb193c058aae61c43b15609851d030b.ts
Now Sports 1,mitv://64.32.9.99:7999/fc27bb77a5978fca28392e9da78565f6.ts
NOW Sports PL 1,mitv://64.32.9.99:7999/be2cdb367e37af80f929361326f167ba.ts
Now Sports 2,mitv://64.32.9.99:7999/b76f0c5b47f18c636b8c7a9dbb18c8f2.ts
now Sports Prime,mitv://64.32.9.99:7999/2fa7f980b433d3efaa4e374afe580dfc.ts
now Sports 3,mitv://64.32.9.99:7999/5e2069340009be7508edccc8138c500c.ts
NOW Sports PL,mitv://64.32.9.99:7999/55f1d4c043a85483a5a1d878e596b8f5.ts
now Sports 4,mitv://64.32.9.99:7999/2cb4318c4218773d434069c89d59ca36.ts
Now Sports 4K,mitv://64.32.9.99:7999/54b342690b9e943452c9334be44e1faa.ts
Now sports 641,mitv://64.32.9.99:7999/fa12126479fbb04708ebef3a17d7cd5a.ts
Sky Sports F1,mitv://64.32.9.99:7999/118e20f170e26cceea64e9df2e85c419.ts
Sky Sports Premier League,mitv://64.32.9.99:7999/d9f8a5e52f53342c6a43ca5a0d961e72.ts
